title,description,price,rating,image,category
HP Pavilion 14 Laptop,"Intel i5 12th Gen, 16GB RAM, 512GB SSD, Windows 11",64999,4.5,https://m.media-amazon.com/images/I/71tH1tKXCpL._SL1500_.jpg,electronics
Dell Inspiron 15,"Intel i3 11th Gen, 8GB RAM, 512GB SSD, Windows 11",43999,4.3,https://m.media-amazon.com/images/I/61kC7tZxd4L._SL1500_.jpg,electronics
Lenovo Ideapad Slim 3,"Ryzen 5, 8GB RAM, 512GB SSD, 15.6"" FHD Display",47999,4.4,https://m.media-amazon.com/images/I/61Dw5Z8LzJL._SL1500_.jpg,electronics
ASUS Vivobook 16X,"Ryzen 7, 16GB RAM, 512GB SSD, Backlit KB",59999,4.5,https://m.media-amazon.com/images/I/61Rw6byL5vL._SL1500_.jpg,electronics
Logitech MX Master 3,Wireless mouse with advanced ergonomic design,7499,4.7,https://m.media-amazon.com/images/I/61jDh3el3eL._SL1500_.jpg,electronics
Dell KM117 Wireless Keyboard & Mouse Combo,"Full-size keyboard, optical mouse, 2.4GHz wireless",1699,4.2,https://m.media-amazon.com/images/I/61+Q6Rh3OqL._SL1000_.jpg,electronics
HP X500 Wired Mouse,"USB optical mouse, 3 buttons, smooth scroll",399,4.4,https://m.media-amazon.com/images/I/61w4VHgxb3L._SL1500_.jpg,electronics
Zebronics ZEB-Transformer Keyboard & Mouse Combo,"Mechanical feel, LED lighting, USB",1499,4.1,https://m.media-amazon.com/images/I/61H5vOZ8Z2L._SL1200_.jpg,electronics
boAt Airdopes 141,Bluetooth earbuds with 42H playback & mic,1299,4.3,https://m.media-amazon.com/images/I/61KNJav3S9L._SL1500_.jpg,electronics
OnePlus Nord Buds 2,"ANC, 12.4mm drivers, 36 hrs battery",2999,4.4,https://m.media-amazon.com/images/I/61bK6PMOC3L._SL1500_.jpg,electronics
Samsung Galaxy M14 5G,"6.6"" FHD+ Display, Exynos 1330, 6000mAh Battery",11999,4.2,https://m.media-amazon.com/images/I/817WWpaFo1L._SL1500_.jpg,electronics
Redmi 12 5G,"Snapdragon 4 Gen 2, 6.79"" 90Hz Display",11999,4.1,https://m.media-amazon.com/images/I/71li-ufczXL._SL1500_.jpg,electronics
Realme Narzo N55,"Helio G88, 64MP camera, 33W charging",10999,4.0,https://m.media-amazon.com/images/I/61j99U1pJBL._SL1500_.jpg,electronics
Samsung Galaxy Tab A8,"10.5"" LCD Display, 32GB ROM, Dolby Atmos",14499,4.3,https://m.media-amazon.com/images/I/81TgQ7u3hoL._SL1500_.jpg,electronics
Lenovo Tab M10,"FHD Display, 4GB RAM, 64GB ROM, Kids Mode",11999,4.1,https://m.media-amazon.com/images/I/61tv8GjaRHL._SL1500_.jpg,electronics
Acer Aspire 5 Gaming Laptop,"i5 12th Gen, RTX 2050, 16GB RAM, 512GB SSD",57999,4.6,https://m.media-amazon.com/images/I/71jG+e7roXL._SL1500_.jpg,electronics
MSI GF63 Thin,"i5 11th Gen, GTX 1650, 8GB RAM, 512GB SSD",49999,4.5,https://m.media-amazon.com/images/I/71zrQuY3EAL._SL1500_.jpg,electronics
Sony WH-CH520 Wireless Headphones,"Bluetooth, 50H battery, quick charge",2999,4.4,https://m.media-amazon.com/images/I/61kWB+uzR2L._SL1500_.jpg,electronics
JBL Go 3 Bluetooth Speaker,"Portable, waterproof, punchy bass",2499,4.3,https://m.media-amazon.com/images/I/61kUD4U6m8L._SL1500_.jpg,electronics
Fire-Boltt Phoenix Smartwatch,"Bluetooth calling, fitness tracking",1799,4.0,https://m.media-amazon.com/images/I/61ExV7IRP8L._SL1500_.jpg,electronics
Noise ColorFit Pulse Grand,"1.69"" Display, 60 sports modes, IP68",1599,4.1,https://m.media-amazon.com/images/I/61MKk+uFjwL._SL1500_.jpg,electronics
Samsung Galaxy Buds Live,Wireless earbuds with ANC and Bixby,3999,4.2,https://m.media-amazon.com/images/I/51mUZ+I9bpL._SL1500_.jpg,electronics
Apple AirPods (2nd Gen),"With Charging Case, Bluetooth Earbuds",8999,4.6,https://m.media-amazon.com/images/I/61NIsUGl+FL._SL1500_.jpg,electronics
Realme Buds Wireless 2 Neo,"Neckband style, fast charging, IPX4",1299,4.1,https://m.media-amazon.com/images/I/61FQC6GJGKL._SL1500_.jpg,electronics
