title,description,price,rating,image,category
Philips Beard Trimmer BT3221,Rechargeable trimmer with 20 length settings,1849,4.5,https://m.media-amazon.com/images/I/71U+NcRM0eL._SL1500_.jpg,personal_health
Syska Hair Dryer HD1600,1200W hair dryer with heat balance technology,999,4.2,https://m.media-amazon.com/images/I/71b4jEp+nRL._SL1500_.jpg,personal_health
VEGA Hair Straightener VHSH-18,Ceramic plates with quick heat-up and power indicator,1399,4.0,https://m.media-amazon.com/images/I/71lw46d0nAL._SL1500_.jpg,personal_health
Oral B Electric Toothbrush,Rechargeable brush with 2D cleaning action,1599,4.3,https://m.media-amazon.com/images/I/61E+9XtH4fL._SL1500_.jpg,personal_health
Nova NHT-1071 Trimmer,Professional rechargeable trimmer with blades,799,4.1,https://m.media-amazon.com/images/I/61OrU9pz-FL._SL1500_.jpg,personal_health
Havells HD3151 Hair Dryer,1600W hair dryer with fixed and concentrator nozzle,1299,4.4,https://m.media-amazon.com/images/I/51XujFVKsHL._SL1000_.jpg,personal_health
Philips HP8302 Hair Straightener,Ceramic plates and silk pro care technology,1649,4.3,https://m.media-amazon.com/images/I/61xDSRyL+KL._SL1500_.jpg,personal_health
MI Beard Trimmer 2,40 length settings and fast charge with USB Type-C,1999,4.5,https://m.media-amazon.com/images/I/61XJY1FgJML._SL1500_.jpg,personal_health
Lifelong LLPCM13 Trimmer,Cordless rechargeable trimmer with 60 mins run time,699,4.1,https://m.media-amazon.com/images/I/61vDqjXcQ6L._SL1500_.jpg,personal_health
AGARO HD-1214 Hair Dryer,Cool shot function and 2-speed heat settings,899,4.0,https://m.media-amazon.com/images/I/61FqKgaSGmL._SL1500_.jpg,personal_health
Caresmith Spark Electric Toothbrush,"Sonic technology, 6 modes and 20-day battery",1399,4.4,https://m.media-amazon.com/images/I/61Qd9CRxt5L._SL1500_.jpg,personal_health
Philips BT1232/15 Beard Trimmer,"USB charging, skin-friendly blades",1099,4.3,https://m.media-amazon.com/images/I/61YOTD8X-jL._SL1500_.jpg,personal_health
Syska HS6810 Hair Straightener,Ceramic coated plates with overheat protection,1149,4.2,https://m.media-amazon.com/images/I/61ybi7NJtoL._SL1500_.jpg,personal_health
Oral B Cross Action Battery Toothbrush,Battery operated brush with cross action bristles,699,4.1,https://m.media-amazon.com/images/I/71Ct04nzYbL._SL1500_.jpg,personal_health
VEGA Blooming Air 1000 Hair Dryer,"Foldable design, 2 heat settings",899,4.0,https://m.media-amazon.com/images/I/51WKrUX1zUL._SL1000_.jpg,personal_health
Panasonic ER-GB30 Trimmer,"Japanese blade tech, 2 comb attachments",1349,4.2,https://m.media-amazon.com/images/I/71mHiOKsLbL._SL1500_.jpg,personal_health
Caresmith Charge Electric Toothbrush,"USB rechargeable, 5 cleaning modes",1499,4.4,https://m.media-amazon.com/images/I/61zZtbA4UOL._SL1500_.jpg,personal_health
Havells BT9005 Trimmer,"Quick charge, LED indicator, 20 settings",1749,4.5,https://m.media-amazon.com/images/I/61dUQkD0BcL._SL1500_.jpg,personal_health
Syska HT3333K Grooming Kit,"Cordless use, 10 length settings",1699,4.3,https://m.media-amazon.com/images/I/51bbzCm0jsL._SL1000_.jpg,personal_health
VEGA X-Glam Hair Straightener,"Wide plates, fast heating, 360 swivel cord",1299,4.2,https://m.media-amazon.com/images/I/61qS8BRltxL._SL1500_.jpg,personal_health
